Study Number,Sample ID,Product Type,Base Ingredient,Process Type,Sample Age (Weeks),Difference From Fresh,Storage Conditions,Packaging Stabilizer Added,Transparent Window in Package,Processing Agent Stability Index,Preservative Added,Moisture (%),Residual Oxygen (%),Hexanal (ppm)
1310186,1310186-1,D,,C,0,0.0,,,,16.20,,,,
1310186,1310186-1,D,,C,10,0.0,,,,16.20,,1.56,2.87,0.10
1310186,1310186-1,D,,C,14,0.0,,,,16.20,,1.64,2.95,0.10
1310186,1310186-1,D,,C,16,3.3,,,,16.00,,1.60,7.13,0.09
1310186,1310186-1,D,,C,18,2.7,,,,16.00,,1.70,12.73,0.47
1310746,1310746-1,E,C,C,0,0.0,,,,16.00,,,,
1310746,1310746-1,E,C,C,5,34.0,,,,16.00,,2.34,12.36,0.05
1310746,1310746-1,E,C,C,11,22.0,,,,16.00,,2.13,16.48,2.00
1310746,1310746-1,E,C,C,13,44.0,,,,16.00,,2.31,16.85,2.00
1310746,1310746-1,E,C,C,15,50.0,,,,16.00,,,,
1310746,1310746-2,E,C,C,0,0.0,,,,16.00,,,,
1310746,1310746-2,E,C,C,5,35.0,,,,16.00,,1.50,12.05,0.95
1310746,1310746-2,E,C,C,11,45.0,,,,16.00,,2.13,13.15,1.53
1310746,1310746-2,E,C,C,13,38.0,,,,16.00,,2.19,13.21,1.80
1310746,1310746-2,E,C,C,15,16.0,,,,16.00,,,,
1310746,1310746-3,E,C,C,0,0.0,,,,16.00,,,,
1310746,1310746-3,E,C,C,5,25.0,,,,16.00,,1.28,2.67,0.05
1310746,1310746-3,E,C,C,11,12.0,,,,16.00,,1.43,9.26,0.34
1310746,1310746-3,E,C,C,13,6.0,,,,16.00,,1.41,5.55,0.07
1310746,1310746-3,E,C,C,15,21.0,,,,16.00,,,,
1310746,1310746-4,E,C,C,0,0.0,,,,16.00,,,,
1310746,1310746-4,E,C,C,5,33.0,,,,16.00,,1.66,13.94,1.74
1310746,1310746-4,E,C,C,11,44.0,,,,16.00,,2.33,17.02,1.85
1310746,1310746-4,E,C,C,13,23.0,,,,16.00,,2.11,17.50,2.00
1310746,1310746-4,E,C,C,15,37.0,,,,16.00,,,,
1310746,1310746-5,E,C,C,0,0.0,,,,16.00,,,,
1310746,1310746-5,E,C,C,5,17.0,,,,16.00,,1.68,16.71,1.29
1310746,1310746-5,E,C,C,11,37.0,,,,16.00,,2.22,16.01,1.47
1310746,1310746-5,E,C,C,13,18.0,,,,16.00,,1.94,14.67,1.73
1310746,1310746-5,E,C,C,15,25.0,,,,16.00,,,,
1310746,1310746-6,E,C,C,0,0.0,,,,16.00,,,,
1310746,1310746-6,E,C,C,5,0.0,,,,16.00,,1.44,8.81,1.25
1310746,1310746-6,E,C,C,11,9.0,,,,16.00,,1.94,9.12,0.26
1310746,1310746-6,E,C,C,13,27.0,,,,16.00,,1.37,7.98,0.37
1310746,1310746-6,E,C,C,15,31.0,,,,16.00,,,,
1310881,1310881-1,H,A,C,0,0.0,,,,16.20,,1.32,8.58,
1310881,1310881-1,H,A,C,5,7.0,,,,16.20,,1.43,6.38,
1310881,1310881-1,H,A,C,7,5.0,,,,16.20,,1.39,7.05,
1310881,1310881-1,H,A,C,9,16.0,,,,16.20,,1.36,7.65,
1310881,1310881-1,H,A,C,11,0.0,,,,16.20,,1.40,11.36,
1310881,1310881-1,H,A,C,13,0.0,,,,16.20,,1.54,9.84,
1310881,1310881-1,H,A,C,15,7.0,,,,16.20,,1.52,12.28,
1310881,1310881-1,H,A,C,17,18.0,,,,16.20,,1.47,10.66,
1310881,1310881-1,H,A,C,19,0.0,,,,16.20,,1.45,10.02,
1310881,1310881-1,H,A,C,22,0.0,,,,16.20,,1.56,8.14,
1310881,1310881-1,H,A,C,24,5.0,,,,16.20,,1.62,16.68,
1310881,1310881-1,H,A,C,26,0.0,,,,16.20,,1.51,12.76,
