Country,Continent,Average2000_2011,1979,1980,1981,1982,1983,1984,1985,1986,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,OverAllAverage
Swaziland,AFRICA,25.58,,,,0.01097002,,,,,,2.3,3.2,4.4,6.1,8.1,10.6,13.3,16.0,18.5,20.6,22.3,23.6,24.5,25.1,25.5,25.6,25.7,25.8,25.9,25.8,25.9,26.0,17.933
Botswana,AFRICA,25.02,0.105976053,,,,,,,,,3.5,5.1,7.3,10.1,13.3,16.6,19.7,22.2,24.1,25.3,26.0,26.3,26.3,26.1,25.8,25.5,25.3,25.1,24.9,24.1,23.7,23.4,19.7844
Lesotho,AFRICA,23.59,,,,,,0.011079346,,,,0.8,1.7,3.3,5.9,9.8,14.3,18.5,21.6,23.4,24.2,24.5,24.5,24.3,24.1,23.8,23.6,23.5,23.5,23.6,23.0,23.2,23.3,18.0
South Africa,AFRICA,17.77,,,0.014208588999999999,,,,,,,0.7,1.2,1.8,2.9,4.3,6.1,8.4,10.7,12.9,14.8,16.1,17.1,17.7,18.0,18.1,18.1,18.1,18.0,17.9,17.2,17.3,17.3,12.1868
Zimbabwe,AFRICA,17.6,0.01,,,,,,,,,10.1,13.6,17.2,20.6,23.3,25.1,26.2,26.5,26.3,25.7,24.8,23.7,22.5,21.1,19.8,18.4,17.2,16.1,15.1,15.7,15.2,14.9,19.0296
Namibia,AFRICA,14.86,0.016749108000000002,,,,,,,,,1.6,2.2,3.0,4.1,5.5,7.1,8.9,10.7,12.5,14.1,15.3,16.1,16.5,16.5,16.2,15.7,15.0,14.3,13.7,13.7,13.6,13.4,11.024
Zambia,AFRICA,13.54,0.01,,,,,,,,,12.7,13.6,14.2,14.6,14.9,15.0,14.9,14.8,14.7,14.6,14.4,14.3,14.2,14.1,14.0,13.9,13.8,13.7,13.6,12.9,12.7,12.5,13.4021
Malawi,AFRICA,11.67,,0.015321148,,,,,,,,7.2,8.8,10.5,11.9,13.1,13.9,14.5,14.7,14.7,14.5,14.2,13.8,13.4,13.0,12.5,12.1,11.8,11.4,11.2,10.9,10.4,10.0,11.6744
Mozambique,AFRICA,11.09,0.075681075,,,,,,,,,1.2,1.6,2.1,2.7,3.4,4.1,4.9,5.8,6.7,7.7,8.6,9.4,10.1,10.6,11.0,11.2,11.3,11.4,11.4,11.3,11.3,11.3,7.5111
Kenya,AFRICA,6.72,0.07,,,,,,,,,3.9,5.4,7.0,8.4,9.6,10.3,10.5,10.5,10.1,9.6,9.0,8.4,7.9,7.5,7.1,6.8,6.6,6.4,6.3,6.2,6.2,6.2,7.3621
Uganda,AFRICA,6.63,0.01,,,,,,,,,10.2,10.7,10.5,10.2,9.8,9.3,8.8,8.4,8.0,7.6,7.3,7.0,6.8,6.6,6.4,6.4,6.3,6.3,6.4,6.9,7.0,7.2,7.5308
Central African Republic,AFRICA,6.13,0.11303477699999999,,,,,,,,,3.1,4.6,6.3,7.9,9.0,9.7,10.1,10.1,10.0,9.8,9.4,8.9,8.4,7.8,7.2,6.6,6.1,5.5,5.1,5.1,4.9,4.6,6.9351
Tanzania,AFRICA,6.11,0.01,,,,,,,,,4.8,5.7,6.5,7.1,7.6,7.8,7.9,7.9,7.7,7.5,7.3,7.1,6.8,6.6,6.4,6.2,6.0,5.9,5.8,5.8,5.8,5.8,6.3383
Gabon,AFRICA,5.29,0.042124435999999994,,,,,,,,,0.9,1.2,1.6,2.0,2.6,3.1,3.7,4.2,4.6,4.9,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.0638
Cameroon,AFRICA,5.2,,0.012524627,,,,,,,,0.6,1.0,1.6,2.5,3.4,4.2,4.8,5.1,5.3,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.3,4.8,4.7,4.6,4.2547
Cote d'Ivoire,AFRICA,4.37,0.123178372,,,,,,,,,2.4,3.3,4.4,5.5,6.4,7.1,7.4,7.5,7.4,7.2,6.9,6.5,6.1,5.7,5.3,4.8,4.4,4.1,3.7,3.4,3.2,3.0,5.008
Equatorial Guinea,AFRICA,3.82,0.082364934,,,,,,,,,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,1.2,1.5,1.9,2.3,2.7,3.2,3.6,4.0,4.4,4.7,4.2,4.4,4.7,2.1001
Nigeria,AFRICA,3.67,0.037979687000000005,,,,,,,,,1.3,2.2,3.1,3.6,3.8,4.0,4.0,4.0,4.0,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.4212
"Congo, Rep.",AFRICA,3.53,0.01,,,,,,,,,5.2,5.2,5.0,4.8,4.6,4.4,4.3,4.1,4.0,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.3,3.3,3.3,3.835
Togo,AFRICA,3.43,0.009898522,,,,,,,,,0.6,0.8,1.2,1.6,2.0,2.5,2.9,3.1,3.4,3.5,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2,3.6,3.5,3.4,2.7725
Chad,AFRICA,3.35,0.039876697999999995,,,,,,,,,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.9,3.0,3.2,3.3,3.4,3.4,3.5,3.5,3.5,3.4,3.2,3.2,3.1,2.6287
Burundi,AFRICA,3.26,0.015913875,,,,,,,,,3.9,4.5,5.1,5.5,5.8,5.9,5.9,5.8,5.7,5.4,5.2,5.0,4.7,4.5,4.2,4.0,3.8,3.6,3.5,1.6,1.4,1.3,4.149
South Sudan,AFRICA,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.1
Rwanda,AFRICA,3.1,0.01,,,,,,,,,5.2,5.2,5.1,5.0,4.9,4.7,4.5,4.3,4.2,4.0,3.8,3.7,3.6,3.4,3.2,3.1,3.0,2.9,2.9,3.0,3.0,2.9,3.6963
Guinea-Bissau,AFRICA,2.37,,,0.009823591,,,,,,,0.3,0.3,0.4,0.6,0.7,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.1,2.3,2.3,2.4,2.4,2.5,2.5,2.3,2.4,2.5,1.595
Djibouti,AFRICA,2.34,,,,,0.012392677,,,,,0.9,1.1,1.4,1.7,2.0,2.3,2.5,2.7,2.8,2.9,2.9,2.9,2.9,2.8,2.7,2.7,2.6,2.6,2.6,1.6,1.5,1.4,2.1605
Angola,AFRICA,1.97,0.026527865,,,,,,,,,0.5,0.8,1.0,1.2,1.4,1.6,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.1,2.1,2.1,1.6332
Liberia,AFRICA,1.88,0.01185026,,,,,,,,,0.3,0.5,1.0,1.7,2.5,3.1,3.4,3.6,3.5,3.4,3.3,3.1,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.3,1.1,1.0,2.0872
Ghana,AFRICA,1.86,,,,,,,,,,0.3,0.4,0.7,0.9,1.3,1.7,2.0,2.2,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2.0,1.9,1.9,1.8,1.6,1.5,1.5,1.7026
Ethiopia,AFRICA,1.5667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.4,1.5667
Sierra Leone,AFRICA,1.5,,,,,,,0.011022285,,,0.06,0.06,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,0.8846
Guinea,AFRICA,1.46,0.015019428999999999,,,,,,,,,1.1,1.3,1.5,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4948
Burkina Faso,AFRICA,1.41,0.01,,,,,,,,,3.9,4.0,3.9,3.8,3.6,3.4,3.2,2.9,2.7,2.5,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.2,1.2,1.2,1.1,2.2425
Benin,AFRICA,1.25,,,,,,0.011875633,,,,0.2,0.4,0.5,0.7,0.9,1.1,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.0776
Gambia,AFRICA,1.24,,,,,,,,,,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,1.0,1.1,1.3,1.5,1.7,1.4,1.4,1.5,0.7409
Mali,AFRICA,1.2,,,,0.012575161999999999,,,,,,0.4,0.6,1.0,1.4,1.7,1.8,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.1,1.0,1.2,1.1,1.1,1.2839
Sao Tome and Principe,AFRICA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Cape Verde,AFRICA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
Eritrea,AFRICA,0.88,,,,,,,0.010873503,,,0.3,0.4,0.6,0.8,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.6,0.8705
